,listing_url,last_scraped,name,neighborhood_overview,host_id,host_name,host_location,host_response_time,host_acceptance_rate,host_thumbnail_url,host_neighbourhood,host_total_listings_count,host_has_profile_pic,neighbourhood,neighbourhood_group_cleansed,longitude,room_type,bathrooms,bedrooms,amenities,minimum_nights,minimum_minimum_nights,minimum_maximum_nights,minimum_nights_avg_ntm,calendar_updated,availability_30,availability_90,calendar_last_scraped,number_of_reviews_ltm,availability_eoy,estimated_occupancy_l365d,first_review,review_scores_rating,review_scores_cleanliness,review_scores_communication,review_scores_value,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms
0,https://www.airbnb.com/rooms/3781,2025-06-19,HARBORSIDE-Walk to subway,"Mostly quiet ( no loud music, no crowed sidewalks)  area with residential 3 story buildings, some 4 and 5 story newer buildings. Though not in an ""entertainment"" area there are local food shops and supermarket with a mix of restaurants.  Area is in transition--East Boston has a great waterfront with gentrification evident everywhere!",4804,Frank,"Massachusetts, United States",within a day,13%,https://a0.muscache.com/im/users/4804/profile_pic/1327953150/original.jpg?aki_policy=profile_small,East Boston,6,t,Neighborhood highlights,,-71.02991,Entire home/apt,1.0,1.0,"[""Essentials"", ""Washer"", ""Patio or balcony"", ""Smoke alarm"", ""Dishes and silverware"", ""Oven"", ""Carbon monoxide alarm"", ""Bed linens"", ""Microwave"", ""Shampoo"", ""TV with standard cable"", ""Hair dryer"", ""Refrigerator"", ""Extra pillows and blankets"", ""Dishwasher"", ""Dryer"", ""Cooking basics"", ""Kitchen"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""Hangers"", ""Stove"", ""Coffee maker"", ""Free parking on premises"", ""Central air conditioning"", ""Free street parking""]",29,29,1125,29.0,,0,0,2025-06-19,1,93,58,2015-07-10,4.96,4.96,4.96,4.88,f,1,0
1,https://www.airbnb.com/rooms/5506,2025-06-19,** Fort Hill Inn Private! Minutes to center!**,"Peaceful, Architecturally interesting, historic, diverse, and quiet residential. <br /><br />Culturally,  ethnically, and economically diverse.",8229,Terry,"Boston, MA",within an hour,100%,https://a0.muscache.com/im/users/8229/profile_pic/1259099341/original.jpg?aki_policy=profile_small,Roxbury,15,t,Neighborhood highlights,,-71.09581,Entire home/apt,1.0,1.0,"[""Essentials"", ""Private entrance"", ""Washer"", ""Air conditioning"", ""Smoke alarm"", ""Dishes and silverware"", ""Self check-in"", ""Long term stays allowed"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Bed linens"", ""Microwave"", ""Shampoo"", ""TV with standard cable"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Dryer"", ""Keypad"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""First aid kit"", ""Hangers"", ""Bathtub"", ""Free street parking""]",3,1,1125,3.0,,4,22,2025-06-19,13,103,78,2009-03-21,4.82,4.91,4.89,4.77,f,11,0
2,https://www.airbnb.com/rooms/6695,2025-06-19,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex","Peaceful, Architecturally interesting, historic, diverse, and quiet. Racially, culturally,  ethnic, and economically diverse.",8229,Terry,"Boston, MA",within an hour,100%,https://a0.muscache.com/im/users/8229/profile_pic/1259099341/original.jpg?aki_policy=profile_small,Roxbury,15,t,Neighborhood highlights,,-71.09387,Entire home/apt,1.0,0.0,"[""Essentials"", ""Washer"", ""Air conditioning"", ""Smoke alarm"", ""Dishes and silverware"", ""Self check-in"", ""Oven"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Microwave"", ""Shampoo"", ""TV with standard cable"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Fire extinguisher"", ""Dishwasher"", ""Dryer"", ""Cooking basics"", ""Kitchen"", ""Keypad"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""Hangers"", ""Stove"", ""Coffee maker"", ""Free street parking""]",3,1,730,3.0,,2,12,2025-06-19,11,93,66,2009-08-06,4.81,4.85,4.94,4.72,f,11,0
3,https://www.airbnb.com/rooms/8789,2025-06-19,Curved Glass Studio/1bd facing Park,"Beacon Hill is a historic neighborhood filled with tradition, brownstones, cobblestone streets, the Boston Common park, the State House, as well as shopping, restaurants and public transportation.",26988,Anne,"Boston, MA",within a day,38%,https://a0.muscache.com/im/pictures/user/d7d71322-db4f-45f8-92f7-ec27a50d5773.jpg?aki_policy=profile_small,Beacon Hill,32,t,Neighborhood highlights,,-71.06307,Entire home/apt,1.0,1.0,"[""Wine glasses"", ""Essentials"", ""Patio or balcony"", ""Paid parking garage off premises"", ""Clothing storage: closet and dresser"", ""Air conditioning"", ""Smoke alarm"", ""Dishes and silverware"", ""Electric stove"", ""Elevator"", ""Paid washer \u2013 In building"", ""Paid dryer \u2013 In building"", ""Dining table"", ""Long term stays allowed"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Bed linens"", ""Microwave"", ""TV with standard cable"", ""Hair dryer"", ""Refrigerator"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Cooking basics"", ""Kitchen"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""Hangers"", ""Single level home"", ""Bathtub""]",91,91,365,91.0,,0,29,2025-06-19,0,41,0,2014-08-12,4.69,4.55,4.97,4.59,f,8,0
4,https://www.airbnb.com/rooms/10811,2025-06-19,Bostons Best Rentals -Studio Prestigious Back Bay,"A one-square mile neighborhood that is arguably one of the most prestigious neighborhoods in Boston, Back Bay teems with history and affluence. Copley Square is the heart of Back Bay, featuring landmarks such as the Boston Public Library and the John Hancock Tower. Shoppers and tourists also flock to the Prudential Center. Commonwealth Avenue is the pride of the neighborhood - a beautiful, tree-lined boulevard with grand mansions and other stately homes. This neighborhood, along with Beacon Hill, is the place to live for the quintessential Boston experience and is popular with young professionals and empty nesters who fled the suburbs for city living after their kids left home. The housing stock is a mixture of Victorian brownstones and larger buildings nestled between high-rises offering luxurious living in snug quarters.",38997,Michelle,,within a few hours,53%,https://a0.muscache.com/im/pictures/user/134447ef-915a-418a-8370-afe9642591f8.jpg?aki_policy=profile_small,Back Bay,29,t,Neighborhood highlights,,-71.08685,Entire home/apt,1.0,0.0,"[""Essentials"", ""Air conditioning"", ""Smoke alarm"", ""Dishes and silverware"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Bed linens"", ""Microwave"", ""Shampoo"", ""TV with standard cable"", ""Hair dryer"", ""Pets allowed"", ""Fire extinguisher"", ""Ethernet connection"", ""Indoor fireplace"", ""Kitchen"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""Hangers"", ""Coffee maker""]",91,91,1125,91.0,,29,89,2025-06-19,0,175,0,2016-01-09,4.33,4.67,4.0,4.67,f,12,0
5,https://www.airbnb.com/rooms/10813,2025-06-19,The Back Bay Nook  -Brownstone in Prestigious Area,"Wander around this quintessential neighborhood in the heart of Boston for high-end shops, restaurants, and the feeling of city bustle. Its most identifiable skyscrapers, the Prudential Center and John Hancock Tower, are highlights of the city skyline. Visit Newbury street to explore unique and trendy boutiques – as well as every other kind of store imaginable – all housed in beautiful brownstone buildings. In nice weather, restaurant patio seating is packed with Bostonians and tourists alike soaking up the sunshine and enjoying the food. Commonwealth Ave offers a beautiful stroll down residential tree-lined streets. Keep walking towards the Charles River and enjoy a beautiful view by the water. In warmer months, people run and bike on paths running along the esplanade, and sail and kayak on the Charles River. Boylston street, also full of shops, bars, and restaurants, is the finish line of the Boston Marathon. Head towards Copley Square and check out the Boston Public Library, which is",38997,Michelle,,within a few hours,53%,https://a0.muscache.com/im/pictures/user/134447ef-915a-418a-8370-afe9642591f8.jpg?aki_policy=profile_small,Back Bay,29,t,Neighborhood highlights,,-71.08787,Entire home/apt,1.0,0.0,"[""Wine glasses"", ""Essentials"", ""Baking sheet"", ""Clothing storage: closet"", ""Smoke alarm"", ""Housekeeping available every day - available at extra cost"", ""Dishes and silverware"", ""Dining table"", ""Long term stays allowed"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Bed linens"", ""Microwave"", ""TV with standard cable"", ""Hair dryer"", ""Body soap"", ""Freezer"", ""Refrigerator"", ""Window AC unit"", ""Fire extinguisher"", ""Dishwasher"", ""Laundromat nearby"", ""Cooking basics"", ""Kitchen"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""Toaster"", ""Hangers"", ""Stove"", ""Bathtub""]",32,32,1125,32.0,,19,63,2025-06-19,0,64,0,2019-03-17,5.0,4.8,5.0,4.8,f,12,0
6,https://www.airbnb.com/rooms/10986,2025-06-19,The Olive & Vine in The North End-Walk to MGH Tuft,,38997,Michelle,,within a few hours,53%,https://a0.muscache.com/im/pictures/user/134447ef-915a-418a-8370-afe9642591f8.jpg?aki_policy=profile_small,Back Bay,29,t,,,-71.05206,Entire home/apt,1.0,0.0,"[""Wine glasses"", ""Essentials"", ""Baking sheet"", ""Smoke alarm"", ""Dishes and silverware"", ""Hot water kettle"", ""Self check-in"", ""Long term stays allowed"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Free dryer \u2013 In building"", ""Bed linens"", ""Microwave"", ""TV with standard cable"", ""Hair dryer"", ""GE gas stove"", ""Freezer"", ""Ge stainless steel oven"", ""Refrigerator"", ""Free washer \u2013 In building"", ""Pets allowed"", ""Lockbox"", ""Window AC unit"", ""Fire extinguisher"", ""Dishwasher"", ""Cooking basics"", ""Kitchen"", ""Hot water"", ""Heating"", ""Iron"", ""Wifi"", ""Toaster"", ""Hangers"", ""Bathtub""]",32,32,1125,32.0,,0,55,2025-06-19,1,161,64,2024-01-05,4.5,3.5,5.0,4.0,f,12,0
7,https://www.airbnb.com/rooms/18711,2025-06-19,230B1 | The Dorset Redline | 3BR 1BA w/AC | Pvt,"✔ Explore the vibrant South End nearby, famous for its Victorian brownstones and gardens<br />✔ Access Boston's public transport with a 10-minute walk to the T (subway)<br />✔ Discover an array of dining, shopping, and cultural activities nearby<br />✔ Feel the pulse of Boston's rich history and community spirit<br />✔ Don’t miss out—book your urban escape and dive into local adventures!<br /><br />Once its own city, Dorchester is now Boston’s largest and most diverse neighborhood, evident in the wide variety of global cuisines found on Dorchester Avenue. The district hosts UMass Boston and the John F. Kennedy Presidential Library, with artifacts from the president’s life and exhibits on the civil rights era. The Neponset River meanders past several parks, and nearby Franklin Park has woodland trails and a zoo.",71783,Lance,"Boston, MA",within a few hours,96%,https://a0.muscache.com/im/users/71783/profile_pic/1342801683/original.jpg?aki_policy=profile_small,Dorchester,97,t,Neighborhood highlights,,-71.06096,Entire home/apt,1.0,3.0,"[""Wine glasses"", ""Essentials"", ""Private entrance"", ""Washer"", ""Drying rack for clothing"", ""Baking sheet"", ""Air conditioning"", ""Smoke alarm"", ""Dedicated workspace"", ""Dishes and silverware"", ""Books and reading material"", ""Clothing storage"", ""Hot water kettle"", ""Self check-in"", ""Dining table"", ""Oven"", ""Room-darkening shades"", ""Long term stays allowed"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Bed linens"", ""Microwave"", ""Housekeeping - available at extra cost"", ""Shampoo"", ""TV with standard cable"", ""Hair dryer"", ""Luggage dropoff allowed"", ""Body soap"", ""Freezer"", ""Refrigerator"", ""Pets allowed"", ""Extra pillows and blankets"", ""Fire extinguisher"", ""Dishwasher"", ""Laundromat nearby"", ""Dryer"", ""Cooking basics"", ""Kitchen"", ""Bread maker"", ""Hot water"", ""Smart lock"", ""Rice maker"", ""Heating"", ""Iron"", ""Wifi"", ""Toaster"", ""Hangers"", ""Single level home"", ""Stove"", ""Portable fans"", ""Bathtub"", ""Blender"", ""Free street parking""]",30,30,1125,30.0,,0,0,2025-06-19,0,95,0,2010-05-12,4.31,4.71,4.46,4.48,f,18,0
8,https://www.airbnb.com/rooms/29765,2025-06-19,Moroccan Decor Suite,"Boston's oldest and most historic neighborhood, including the Freedom Trail, USS Constitution, and the site of the Battle of Bunker Hill, first battle of the American Revolution. Beautiful early American architecture, nice place to walk on gas-lit streets and by the harbor. Friendly people.",128280,Elizabeth,"Boston, MA",,100%,https://a0.muscache.com/im/users/128280/profile_pic/1274308069/original.jpg?aki_policy=profile_small,Charlestown,4,t,Neighborhood highlights,,-71.06642,Entire home/apt,1.0,1.0,"[""Wine glasses"", ""Essentials"", ""Handmade own brand body soap"", ""Noble Isle conditioner"", ""Smoke alarm"", ""Dishes and silverware"", ""Noble Isle shampoo"", ""Clothing storage: walk-in closet"", ""Coffee"", ""Hot water kettle"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Bed linens"", ""Microwave"", ""Host greets you"", ""TV with standard cable"", ""Hair dryer"", ""Mini fridge"", ""Extra pillows and blankets"", ""Window AC unit"", ""Fire extinguisher"", ""Cooking basics"", ""Kitchen"", ""Hot water"", ""Shower gel"", ""Heating"", ""Iron"", ""Wifi"", ""Toaster"", ""First aid kit"", ""Hangers"", ""Stove"", ""Coffee maker""]",2,2,28,2.0,,0,0,2025-06-19,2,1,12,2010-05-24,4.97,4.97,4.97,4.94,f,1,0
9,https://www.airbnb.com/rooms/40601,2025-06-19,Private room & bath - Jamaica Plain,"Jamaica Plain is a diverse neighborhood of Boston that is close to almost everything.  It has a great selection of shops, groceries, restaurants and bars.  One will find professionals, artists, craftsmen, laborers of all ethnicities and of course the hipsters.",174986,Robert,"Boston, MA",within a day,88%,https://a0.muscache.com/im/users/174986/profile_pic/1279655476/original.jpg?aki_policy=profile_small,Jamaica Plain,1,t,Neighborhood highlights,,-71.11082,Private room,1.5,1.0,"[""Wine glasses"", ""Essentials"", ""Barbecue utensils"", ""Hammock"", ""Drying rack for clothing"", ""Indoor fireplace: gas"", ""Clothing storage: closet and dresser"", ""Baking sheet"", ""Record player"", ""Smoke alarm"", ""Dedicated workspace"", ""Dishes and silverware"", ""BBQ grill: charcoal"", ""Coffee maker: french press, pour-over coffee"", ""Private backyard \u2013 Fully fenced"", ""Books and reading material"", ""Hot water kettle"", ""Free dryer \u2013 In unit"", ""Dining table"", ""Oven"", ""Long term stays allowed"", ""55 inch HDTV with standard cable"", ""Fire pit"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Bed linens"", ""Microwave"", ""Host greets you"", ""Shampoo"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Body soap"", ""Freezer"", ""Free washer \u2013 In unit"", ""Garden view"", ""Refrigerator"", ""Fast wifi \u2013 103 Mbps"", ""Extra pillows and blankets"", ""Private patio or balcony"", ""Outdoor furniture"", ""Fire extinguisher"", ""Dishwasher"", ""Laundromat nearby"", ""Cooking basics"", ""Kitchen"", ""Stainless steel gas stove"", ""Hot water"", ""Heating"", ""Iron"", ""Outdoor dining area"", ""Toaster"", ""First aid kit"", ""Hangers"", ""Exterior security cameras on property"", ""Portable fans"", ""Bathtub"", ""Blender"", ""Central air conditioning"", ""Free street parking""]",14,14,120,14.0,,0,34,2025-06-19,4,66,112,2010-08-27,4.98,5.0,4.94,4.93,f,0,0
